dates,oldSurv,newSurv
2005-07-17,0.3186854,0.31407842
2005-07-31,0.3256342,0.3293481
2005-08-14,0.35940138,0.35662013
2005-08-28,0.36723384,0.36798266
2005-09-11,0.43334067,0.44082767
2005-09-25,0.38745648,0.38097066
2005-10-09,0.31987944,0.3168658
2005-10-23,0.30944565,0.30852234
2005-11-06,0.3351433,0.33165956
2005-11-20,0.44852307,0.4572944
2005-12-04,0.52926046,0.52888054
2005-12-18,0.65797687,0.66126645
2006-01-01,0.64990675,0.64927655
2006-01-15,0.57554376,0.5708097
2006-01-29,0.5875709,0.5862782
2006-02-12,0.62134206,0.62276256
2006-02-26,0.66464925,0.6636613
2006-03-12,0.6318342,0.62588125
2006-03-26,0.6857088,0.68255675
2006-04-09,0.64512277,0.64637107
2006-04-23,0.61555624,0.6103518
2006-05-07,0.5799306,0.5762981
2006-05-21,0.53729206,0.5342116
2006-06-04,0.48285547,0.48592713
2006-06-18,0.38030362,0.38101596
2006-07-02,0.32751516,0.32580334
2006-07-16,0.46539894,0.46875787
2006-07-30,0.43473244,0.43545726
2006-08-13,0.43794987,0.43436408
2006-08-27,0.5064038,0.5034093
2006-09-10,0.4798495,0.48405677
2006-09-24,0.41469583,0.4133111
2006-10-08,0.38015017,0.3845818
2006-10-22,0.3734005,0.37069294
2006-11-05,0.33618304,0.33284456
2006-11-19,0.3775483,0.37585422
2006-12-03,0.5059212,0.5082906
2006-12-17,0.49824274,0.49489167
2006-12-31,0.28638342,0.28625005
2007-01-14,0.385191,0.38516605
2007-01-28,0.58220893,0.5837665
2007-02-11,0.58816946,0.5866938
2007-02-25,0.504211,0.50447416
2007-03-11,0.40296566,0.3912439
2007-03-25,0.47354597,0.47275832
2007-04-08,0.47721642,0.47791603
2007-04-22,0.3137174,0.32600805
2007-05-06,0.20764813,0.21023726
2007-05-20,0.24439523,0.24270934
2007-06-03,0.25016353,0.25200266
2007-06-17,0.33381763,0.3376069
2007-07-01,0.36796197,0.3661616
2007-07-15,0.32584533,0.32466242
2007-07-29,0.3664315,0.36418447
2007-08-12,0.3937801,0.39509088
2007-08-26,0.43301025,0.4310876
2007-09-09,0.4009156,0.3996654
2007-09-23,0.39008024,0.38819966
2007-10-07,0.35029313,0.35037884
2007-10-21,0.3075206,0.30852756
2007-11-04,0.26319137,0.25967005
2007-11-18,0.30970335,0.31212047
2007-12-02,0.28648394,0.28939658
2007-12-16,0.44413415,0.44561562
2007-12-30,0.28912765,0.29097936
2008-01-13,0.5877783,0.59434724
2008-01-27,0.2672638,0.2640859
2008-02-10,0.50148284,0.49895668
2008-02-24,0.35563067,0.3560253
2008-03-09,0.26376435,0.26426244
2008-03-23,0.34045836,0.34630007
2008-04-06,0.28046954,0.28557655
2008-04-20,0.22855054,0.23024414
2008-05-04,0.27850217,0.28395012
2008-05-18,0.29339218,0.30594024
2008-06-01,0.25903365,0.25746992
2008-06-15,0.2874356,0.28195766
2008-06-29,0.27044743,0.27101383
2008-07-13,0.19728288,0.2015441
2008-07-27,0.27132586,0.27695993
2008-08-10,0.33706194,0.3366515
2008-08-24,0.35045177,0.35494903
2008-09-07,0.27618948,0.2798824
2008-09-21,0.300151,0.2951492
2008-10-05,0.25403357,0.25369075
2008-10-19,0.3365181,0.3372482
2008-11-02,0.33120143,0.32456127
2008-11-16,0.27960023,0.27605528
2008-11-30,0.37957865,0.37604973
2008-12-14,0.3640394,0.36518347
2008-12-28,0.28646746,0.29191026
2009-01-11,0.2559122,0.25792494
2009-01-25,0.4604537,0.46085367
2009-02-08,0.5860045,0.57768416
2009-02-22,0.53410304,0.5259385
