stationName,netMean,netStd,tidalMean,tidalStd
TC_U,1009.331161,818.9102187,35.96971092,7038.059364
TC_D,706.6173274,780.7183651,65.49168423,11235.76026
TC_T,-286.0164033,94.27166501,24.60935391,2401.436265
HOR_D,2157.084836,1493.052562,-1.186636265,726.2792274
HOR_T,1805.540486,2142.526738,-0.37567796,189.5598013
