ID,Name,Longitude,Latitude
420,SAC_DS_STMBTSL,38.402609925,-121.5367542
421,CHANNEL_421_L,38.258383115,-121.5220986
422,DCC_422,38.243865695,-121.51334795
423,RSAC123,38.239198275,-121.5369662
426,SAC_US_ISLETON,38.1948864163,-121.56826973
430,RSAC101,38.1593944938,-121.678347588
433,SAC_EMMATON,38.0976178667,-121.724481583
434,RSAC092,38.0723153771,-121.771235514
436,RSAC081,38.06591105,-121.8453875
437,RSAC075,38.0528194828,-121.918380185
441,MTZ,38.0391210832,-122.127778337
442,CHIPPS_S_442,38.0618043578,-121.902153085
452,RSAC064,38.0606438075,-122.053415742
481,CHANNEL_481,38.167427128,-122.107286453
489,CHANNEL_489,38.19149972,-122.0312573
511,SLMZU032,38.0702846981,-121.867486321
512,MTZMA_SL_US_SCG,38.0837148281,-121.883827171
513,SLMZU025,38.1170093419,-121.896873435
517,SLMZU011,38.177301955,-121.97524085
523,SLMZU003,38.1432639818,-122.054243088
529,RORR_529,38.08859139,-121.89432055
549,COSUMNES,38.255590785,-121.42626515
550,MOKELUMNE,38.25081369,-121.4265404
552,CHANNEL_552_L,38.274190355,-121.4488307
553,CHANNEL_553_L,38.266976615,-121.47826885
555,CHANNEL_555_L,38.31459043,-121.5043315
556,CHANNEL_556_L,38.29881949,-121.5080169
557,CHANNEL_557_L,38.280520505,-121.5018266
558,CHANNEL_558_L,38.2682761,-121.4972986
559,CHANNEL_559_L,38.265206845,-121.5069538
560,CALAVERAS,37.9534192664,-121.303170919
900,CHANNEL_900_L,38.183906355,-121.51882445
951,CHANNEL_951_L,38.261998905,-121.46624995
952,RSAC128_MOD,38.25337309,-121.513397
0,CSMR_MOKE,38.254,-121.434
0,MIDR,37.891,-121.434
0,ROLD074,37.81080105,-121.3313663
0,RSAC054,38.0391210832,-122.127778337
0,RSAN112,37.671218155,-121.25893655
0,SNODGRASS,38.291,-121.505
0,CLIFTON_COURT,37.84,-121.602
0,GEORGIANA_SL,38.23492567,-121.5200393
0,CACHE-RYER_CH398,38.2128,-121.6692
0,DELTA-CROSS-CHAN_DCC,38.2466,-121.5096
0,DUTCH-SL_SLDUT007,38.0130,-121.6710
0,FALSE_R,38.0558,-121.6669
0,FREEPORT_RSAC155,38.4557,-121.5012
0,GEORGIANA-SL,38.2373,-121.5177
0,GRANT-LINE_CH213,37.8202,-121.4497
0,HOLLAND-CUT_ROLD014,38.0164,-121.5819
0,SJR-JP_RSAN018,38.0530,-121.6880
0,LIT-POT-SL-TERM_CH324,38.0964,-121.4961
0,MALLARD-SL_RSAC075,38.0440,-121.9190
0,MARTINEZ_RSAC054,0.0000,0.0000
0,MIDDLE-AT-MIDDLE_RMID015,37.9430,-121.5340
0,MIDDLE-R-HOLT_RMID005,38.0031,-121.5108
0,MINER-SL_CH388,38.2917,-121.6308
0,MOKE-AT-SJR_CH349,38.1061,-121.5711
0,OLD-R-BACON_ROLD024,37.9700,-121.5723
0,OLD-R-DMC_ROLD047,37.8116,-121.5470
0,OLD-R-FT-TERM_CH124,38.0711,-121.5789
0,OLD-R-HWY4_ROLD034,37.8911,-121.5692
0,OLD-R-QUIMBY_CH119,38.0272,-121.5645
0,PRISONER-PT_RSAN037,38.0660,-121.5620
0,RIO-VISTA_RSAC101,38.1600,-121.6860
0,ROUGH-N-READY_RSAN058,37.9630,-121.3650
0,HOOD_RSAC142,38.3680,-121.5200
0,GEORGIANA-SAC_RSAC123,38.2389,-121.5234
0,ANTIOCH_RSAN007,38.0180,-121.8020
0,SJR-GARWOOD_CH14,37.9287,-121.3278
0,MOSSDALE_RSAN087,37.7860,-121.3060
0,THREEMILE-SJR_SLTRM004,38.0870,-121.6860
0,TURNER_CUT_HOLT_CFTRN000,37.9928,-121.4542
0,VICT-CNL-BYRON_CHVCT000,37.8717,-121.5283
